🇨🇳｜看直播说明,#genre#
小程序【小马网络】,https://vip.lz-cdn10.com/20230731/15817_c32186f5/index.m3u8
qq群【869256826】,https://v.cdnlz10.com/20230902/17182_75d68494/index.m3u8

维护直播源,https://vip.lz-cdn10.com/20230821/16720_aae8871c/index.m3u8
2023.0903,https://vip.lz-cdn10.com/20230821/16717_3c1031a3/index.m3u8
央视频道,#genre#
CCTV-1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-1,http://120.8.135.86:10010/hls/1/index.m3u8
CCTV-2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-2,http://120.8.135.86:10010/hls/2/index.m3u8
CCTV-3,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-3,http://120.8.135.86:10010/hls/3/index.m3u8
CCTV-4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-4,http://120.8.135.86:10010/hls/4/index.m3u8
CCTV-5,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5,http://120.8.135.86:10010/hls/5/index.m3u8
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5+,http://120.8.135.86:10010/hls/17/index.m3u8
CCTV-6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-6,http://120.8.135.86:10010/hls/6/index.m3u8
CCTV-7,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-7,http://120.8.135.86:10010/hls/7/index.m3u8
CCTV-8,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-8,http://120.8.135.86:10010/hls/8/index.m3u8

CCTV-9,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-9,http://120.8.135.86:10010/hls/9/index.m3u8
CCTV-10,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-10,http://120.8.135.86:10010/hls/10/index.m3u8
CCTV-11,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
