🍥吾爱评测,#genre#
公众号,https://vdse.bdstatic.com//090a11f88eb3c57c7d5482b56c3cdacb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T11%3A24%3A41Z%2F-1%2Fhost%2Fd13ca0af13c4735fb89ea9403e27deb5928b940e9651ff23449ca9bf86d694ce

吾爱电视,https://vdse.bdstatic.com//e0fea407bd264dd1e7833cf8901178cb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-03T03%3A09%3A14Z%2F-1%2Fhost%2Fa0983dd9c76d1b524da42c0c53e2a1e8533d35816e2454e0c363b8e7bcd65907
回复"密码",https://vdse.bdstatic.com//e0fea407bd264dd1e7833cf8901178cb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-03T03%3A09%3A14Z%2F-1%2Fhost%2Fa0983dd9c76d1b524da42c0c53e2a1e8533d35816e2454e0c363b8e7bcd65907

杭州第19届亚洲运动会闭幕式,https://vdse.bdstatic.com//39a35775da131dfada301e3bb621029a.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T02%3A04%3A16Z%2F-1%2Fhost%2Fd4d294dc45c100338cddf7821581dd1f92c7a5620ca9ade397e8ebeb9d50a360
杭州第19届亚洲运动会开幕式,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_3440682307_8629014299/merged_1695478206962_41916_60_7042.m3u8



🍥《古相思曲》,#genre#
第01集（14）,https://vip.lz-cdn12.com/20230703/8631_9eaa9f27/index.m3u8
第02集（13）,https://vip.lz-cdn12.com/20230703/8630_1ef636aa/index.m3u8
第03集（12）,https://vip.lz-cdn12.com/20230703/8629_f365eb50/index.m3u8
第04集（11）,https://vip.lz-cdn12.com/20230703/8628_1b219140/index.m3u8
第05集（10）,https://vip.lz-cdn12.com/20230703/8627_071b9b59/index.m3u8
第06集（9）,https://vip.lz-cdn12.com/20230703/8626_ac38c021/index.m3u8
第07集（8）,https://vip.lz-cdn12.com/20230703/8625_528d3cdd/index.m3u8
第08集（7）,https://vip.lz-cdn12.com/20230703/8624_88ffbe52/index.m3u8
第09集（6）,https://vip.lz-cdn12.com/20230705/8699_80bcaf33/index.m3u8
第10集（5）,https://vip.lz-cdn12.com/20230705/8698_387e144d/index.m3u8
第11集（4）,https://hd.lz-cdn18.com/20230706/3884_6cb44c72/index.m3u8
第12集（3）,https://hd.lz-cdn18.com/20230706/3883_a3fbb45c/index.m3u8
第13集（2）,https://hd.lz-cdn18.com/20230712/3983_35395870/index.m3u8
第14集（1）,https://hd.lz-cdn18.com/20230712/3982_60e0671e/index.m3u8

🍥《逃出大英博物馆》,#genre#
第一集,https://vdse.bdstatic.com//473f25843bee7bf8c92a1827d48df15a.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T13%3A20%3A07Z%2F-1%2Fhost%2F2563c77a84b9d6fc411f90bf5e0dd848a9c5985a1b62f1abe30ac9809a5ac114
第二集,https://vdse.bdstatic.com//14e3040ab8c5863f7beae221a6de8038.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T06%3A17%3A46Z%2F-1%2Fhost%2F701e251d418e586f0a609bb47e77b32ec03f133b2553d6dc39bcd9e8e38a199d
第三集,https://vdse.bdstatic.com//c042c1a2849c4573ae292aa7fd4fa2e2.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-11-04T12%3A43%3A00Z%2F-1%2Fhost%2F6d8a16062a058eca8ae19623d58987f4d504ce312cd8a71ef7c76aadb631ad4d

🍥《门主》短剧_1314,#genre#
